iter	Passed	Remaining
0	166	249291
1	198	148876
2	235	117612
3	268	100286
4	302	90494
5	311	77619
6	346	73960
7	381	71091
8	415	68874
9	435	64846
10	457	61900
11	477	59230
12	488	55847
13	509	54044
14	529	52424
15	549	50975
16	570	49799
17	590	48643
18	610	47623
19	631	46722
20	651	45888
21	670	45064
22	692	44451
23	713	43879
24	734	43330
25	769	43619
26	802	43783
27	823	43269
28	842	42754
29	863	42323
30	885	41966
31	905	41545
32	925	41127
33	957	41298
34	989	41417
35	1026	41754
36	1058	41869
37	1091	42002
38	1125	42166
39	1159	42336
40	1191	42413
41	1225	42551
42	1256	42582
43	1290	42713
44	1322	42757
45	1354	42808
46	1387	42895
47	1406	42539
48	1439	42640
49	1475	42783
50	1493	42435
51	1514	42169
52	1534	41894
53	1554	41624
54	1574	41375
55	1609	41492
56	1628	41224
57	1651	41064
58	1677	40964
59	1701	40840
60	1727	40756
61	1751	40630
62	1775	40498
63	1794	40255
64	1821	40217
65	1845	40099
66	1870	40000
67	1893	39867
68	1918	39790
69	1944	39717
70	1969	39648
71	1995	39571
72	2015	39393
73	2041	39332
74	2061	39175
75	2104	39432
76	2125	39280
77	2160	39396
78	2195	39490
79	2219	39404
80	2247	39378
81	2283	39490
82	2320	39622
83	2348	39590
84	2382	39664
85	2421	39809
86	2455	39885
87	2482	39838
88	2503	39689
89	2529	39625
90	2552	39528
91	2578	39459
92	2600	39340
93	2627	39295
94	2649	39191
95	2673	39105
96	2697	39016
97	2724	38984
98	2749	38904
99	2792	39092
100	2819	39047
101	2840	38936
102	2867	38888
103	2891	38808
104	2914	38727
105	2940	38665
106	2962	38566
107	2986	38488
108	3009	38403
109	3033	38338
110	3058	38272
111	3081	38182
112	3108	38153
113	3135	38120
114	3160	38069
115	3185	38010
116	3212	37967
117	3238	37930
118	3264	37886
119	3288	37815
120	3308	37709
121	3335	37672
122	3358	37594
123	3386	37577
124	3406	37471
125	3430	37408
126	3455	37359
127	3479	37295
128	3504	37246
129	3531	37220
130	3555	37158
131	3579	37093
132	3600	37011
133	3624	36943
134	3649	36898
135	3676	36869
136	3700	36820
137	3726	36778
138	3748	36707
139	3775	36673
140	3798	36608
141	3826	36597
142	3851	36552
143	3879	36534
144	3907	36512
145	3938	36522
146	3963	36484
147	3992	36473
148	4021	36463
149	4048	36433
150	4076	36419
151	4106	36422
152	4134	36399
153	4163	36394
154	4189	36350
155	4220	36360
156	4246	36327
157	4278	36336
158	4303	36292
159	4328	36253
160	4353	36208
161	4380	36177
162	4406	36141
163	4429	36082
164	4453	36033
165	4479	35997
166	4501	35927
167	4526	35886
168	4546	35807
169	4573	35780
170	4596	35721
171	4625	35713
172	4657	35729
173	4681	35679
174	4704	35616
175	4729	35575
176	4751	35517
177	4774	35458
178	4796	35399
179	4823	35372
180	4845	35307
181	4872	35286
182	4895	35230
183	4919	35183
184	4940	35114
185	4963	35062
186	4985	35004
187	5010	34964
188	5038	34950
189	5062	34902
190	5083	34838
191	5110	34813
192	5135	34774
193	5144	34630
194	5168	34586
195	5191	34539
196	5222	34541
197	5252	34540
198	5278	34507
199	5303	34474
200	5329	34442
201	5353	34400
202	5375	34346
203	5402	34322
204	5425	34271
205	5449	34233
206	5476	34208
207	5502	34177
208	5529	34154
209	5555	34124
210	5580	34092
211	5604	34052
212	5629	34016
213	5658	34005
214	5678	33937
215	5703	33902
216	5723	33840
217	5749	33811
218	5780	33811
219	5804	33771
220	5828	33733
221	5854	33701
222	5879	33667
223	5904	33633
224	5911	33498
225	5937	33470
226	5963	33440
227	5986	33396
228	6013	33376
229	6034	33323
230	6059	33285
231	6083	33248
232	6106	33205
233	6132	33179
234	6153	33125
235	6178	33092
236	6199	33035
237	6222	32996
238	6246	32958
239	6273	32934
240	6294	32881
241	6317	32840
242	6342	32808
243	6366	32773
244	6388	32726
245	6410	32680
246	6433	32634
247	6455	32589
248	6478	32546
249	6498	32493
250	6521	32453
251	6544	32411
252	6566	32365
253	6586	32309
254	6606	32255
255	6626	32198
256	6646	32148
257	6669	32105
258	6691	32062
259	6711	32010
260	6733	31967
261	6755	31921
262	6777	31875
263	6798	31830
264	6820	31787
265	6840	31735
266	6862	31692
267	6885	31653
268	6906	31603
269	6927	31559
270	6948	31512
271	6968	31460
272	6989	31415
273	7008	31360
274	7028	31308
275	7049	31264
276	7072	31224
277	7094	31187
278	7114	31133
279	7136	31094
280	7157	31049
281	7178	31004
282	7198	30957
283	7205	30852
284	7226	30806
285	7246	30760
286	7267	30714
287	7287	30669
288	7309	30627
289	7330	30586
290	7353	30549
291	7371	30497
292	7393	30456
293	7414	30415
294	7435	30373
295	7457	30334
296	7483	30311
297	7504	30268
298	7528	30240
299	7556	30225
300	7576	30179
301	7597	30138
302	7618	30095
303	7639	30056
304	7662	30021
305	7682	29978
306	7707	29949
307	7728	29908
308	7749	29870
309	7772	29835
310	7793	29795
311	7813	29752
312	7835	29713
313	7840	29612
