iter	Passed	Remaining
0	159	238739
1	191	143162
2	224	112000
3	257	96441
4	290	86933
5	297	74149
6	331	70769
7	366	68330
8	401	66464
9	432	64379
10	463	62778
11	498	61855
12	509	58222
13	544	57843
14	578	57300
15	608	56445
16	637	55570
17	666	54870
18	697	54382
19	726	53796
20	759	53513
21	784	52729
22	805	51721
23	834	51292
24	855	50503
25	888	50389
26	912	49798
27	937	49282
28	959	48680
29	986	48347
30	1012	47976
31	1039	47689
32	1063	47294
33	1086	46852
34	1113	46599
35	1137	46272
36	1183	46810
37	1222	47037
38	1244	46622
39	1286	46967
40	1307	46526
41	1338	46475
42	1362	46163
43	1391	46047
44	1413	45691
45	1440	45522
46	1470	45447
47	1499	45373
48	1529	45289
49	1553	45049
50	1578	44854
51	1604	44692
52	1631	44552
53	1657	44374
54	1675	44010
55	1699	43831
56	1721	43580
57	1746	43418
58	1765	43131
59	1795	43083
60	1812	42754
61	1838	42633
62	1865	42541
63	1890	42423
64	1919	42374
65	1950	42370
66	1976	42265
67	2004	42218
68	2033	42165
69	2062	42141
70	2087	42013
71	2114	41931
72	2138	41806
73	2166	41756
74	2187	41559
75	2214	41486
76	2236	41331
77	2268	41364
78	2300	41382
79	2326	41288
80	2354	41239
81	2380	41157
82	2407	41095
83	2435	41056
84	2464	41021
85	2486	40879
86	2512	40808
87	2534	40672
88	2559	40577
89	2586	40524
90	2615	40500
91	2640	40412
92	2668	40370
93	2697	40345
94	2721	40248
95	2747	40181
96	2773	40114
97	2800	40057
98	2825	39991
99	2854	39961
100	2882	39926
101	2902	39781
102	2927	39711
103	2953	39650
104	2980	39593
105	3008	39565
106	3036	39534
107	3059	39439
108	3088	39407
109	3110	39305
110	3132	39204
111	3157	39130
112	3179	39028
113	3203	38953
114	3228	38885
115	3255	38839
116	3287	38857
117	3316	38841
118	3347	38850
119	3374	38808
120	3405	38810
121	3433	38779
122	3460	38741
123	3487	38697
124	3507	38580
125	3530	38501
126	3554	38430
127	3580	38380
128	3608	38346
129	3632	38281
130	3662	38276
131	3688	38221
132	3712	38153
133	3736	38094
134	3762	38046
135	3788	37992
136	3812	37926
137	3838	37887
138	3861	37804
139	3887	37766
140	3911	37700
141	3935	37632
142	3965	37635
143	3994	37612
144	4018	37553
145	4043	37499
146	4069	37459
